file,energy_chgnet_meV,energy_mace_meV,delta_E_meV,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain+0.015_perturbed.cif,-2763638.6489868164,-2758843.195576774,4795.45341004245,12.021525630347789,19.25390360070282,143.0514683718298
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain-0.010_perturbed.cif,-2768824.436187744,-2763781.948698219,5042.487489525229,12.370385918033843,19.109550499419473,129.7848508701307
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain-0.015_perturbed.cif,-2767799.514770508,-2762714.3480574014,5085.166713106446,12.90340003318921,19.91458122531617,147.72871768646644
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain+0.010_perturbed.cif,-2764622.1656799316,-2759505.612962821,5116.552717110608,12.418842431479165,18.919333434129673,121.2316192522992
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain+0.015_perturbed.cif,-2763222.1298217773,-2758149.6498393537,5072.479982423596,12.501104728489889,19.31131787260127,144.97780009517783
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain-0.010_perturbed.cif,-2763555.221557617,-2758332.8532621088,5222.368295508437,12.647600114518639,18.878950294279598,132.40780626857654
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain-0.015_perturbed.cif,-2761482.5134277344,-2756226.101835753,5256.411591981538,13.410685315387067,20.425781351007046,135.3846723687092
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain+0.010_perturbed.cif,-2765170.623779297,-2759995.742690662,5174.881088634953,12.918688009457751,19.652816981839614,104.43835762455342
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain+0.015_perturbed.cif,-2763627.52532959,-2758500.523999275,5127.00133031467,12.761584241106453,19.672322935267154,91.630157583465
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain-0.010_perturbed.cif,-2764428.119659424,-2759155.505831819,5272.6138276048005,13.380755677366357,20.364213086971372,120.28038600078617
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain-0.015_perturbed.cif,-2762408.866882324,-2757106.727729435,5302.13915288914,13.734672788861083,20.93608353480552,147.1080495149008
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain+0.010_perturbed.cif,-2765098.320007324,-2759957.6293415446,5140.690665779635,12.476331750847566,19.535766242548192,129.73255968235594
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain+0.015_perturbed.cif,-2763432.861328125,-2758346.3371929247,5086.524135200307,12.773636724442083,20.262015886791154,136.0960438632316
