filename,dataset,u_E_A,d_latent_A,strain,temp,termination,facet,u_E_B,d_latent_B
cellrelaxed_LLZO_010_La_order0_off__Li_111_slab_heavy_T300_0010.cif,T1,0.033925362962903896,2.135219176898738,0.0,300,La,111,0.0166592493990511,1.8089737613794525
cellrelaxed_LLZO_010_Li_order0_off__Li_100_slab_heavy_T450_0025.cif,T1,0.0037491188591544213,0.524635939522664,0.0,450,Li,100,0.0015772985059119738,0.4083047508872321
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T300_0186.cif,T1,0.007980522505948075,0.3106580111774355,0.0,300,Li,111,0.002006035140045876,0.25189773896618517
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0095.cif,T1,0.0029606292335154502,0.5971711065966001,0.0,450,Zr,100,0.0013173994791064922,0.47354731778786596
cellrelaxed_LLZO_010_La_order0_off__Li_111_slab_heavy_T300_0047.cif,T1,0.029823940409527242,1.8817735545035432,0.0,300,La,111,0.014324868851577402,1.6049822049751952
cellrelaxed_LLZO_010_La_order0_off__Li_100_slab_heavy_T300_0036.cif,T1,0.003935738093492989,0.5633581972893531,0.0,300,La,100,0.0016659733361275952,0.4511171052054482
cellrelaxed_LLZO_010_Li_order4_off__Li_110_slab_heavy_T450_0102.cif,T1,0.0030106160205918236,0.4614933593227191,0.0,450,Li,110,0.001491402899202026,0.34154238323835584
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T300_0170.cif,T1,0.002639197966864895,0.6257249905983041,0.0,300,O,100,0.0010346979817169259,0.497991484016921
cellrelaxed_LLZO_010_O_order5_off__Li_110_slab_heavy_T450_0062.cif,T1,0.003168118418929963,0.4281259632979107,0.0,450,O,110,0.0016230560047194545,0.31456301499290124
cellrelaxed_LLZO_010_Li_order0_off__Li_111_slab_heavy_T450_0128.cif,T1,0.011369073009608438,0.40847405270001363,0.0,450,Li,111,0.00491022045925332,0.4319142989306325
cellrelaxed_LLZO_010_O_order5_off__Li_110_slab_heavy_T450_0002.cif,T1,0.003457325972673298,0.40507882879870316,0.0,450,O,110,0.0019019961407676822,0.29269446626323703
cellrelaxed_LLZO_010_Li_order0_off__Li_110_slab_heavy_T300_0065.cif,T1,0.004016668063475947,0.38910357853482924,0.0,300,Li,110,0.0017687378764030487,0.27207254180163837
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0100.cif,T1,0.0029838755044049674,0.6076948847736368,0.0,300,Zr,100,0.0013088386696598062,0.4849185771993373
cellrelaxed_LLZO_010_Li_order0_off__Li_111_slab_heavy_T300_0188.cif,T1,0.007651947519154793,0.3009169744448714,0.0,300,Li,111,0.001990132590081565,0.2494699856747351
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T450_0199.cif,T1,0.0024687741029115156,0.6374181797640259,0.0,450,O,100,0.0007224103992679078,0.5067966599474034
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T300_0137_strain-2_perturbed.cif,T1,0.009662084373731183,0.35089073237566387,-2.0,300,Li,111,0.002897854093591615,0.37898361150186827
cellrelaxed_LLZO_010_Li_order0_off__Li_111_slab_heavy_T300_0082.cif,T1,0.019077210725367517,1.0117395358165668,0.0,300,Li,111,0.008956082389922732,0.9032653928652198
